Occupation,Occurrences
Jobmaster,4
Kitchen Porter,4
House Decorator,4
Riveter,4
Midwife,4
Stickmaker,4
Company Promoter,4
Medical Practitioner,4
Bookkeeper,4
Caterer,4
Ship Steward,4
Financier,4
Engine Cleaner,4
Tailor'S Cutter,4
Tailor'S Presser,4
Linen Draper,3
Clothes-Shop Keeper,3
Shop-Keeper,3
Goldsmith,3
Gunner In The Royal Artillery,3
Mattress-Maker,3
Market-Gardener,3
Fisherman,3
Tea-Dealer,3
Weaver,3
Cowkeeper,3
Beershop Keeper,3
Servant Out Of Place,3
Master Of A Ship,3
Boot Maker,3
Attorney'S Clerk,3
Keeps A Broker'S Shop,3
Town Traveller,3
Chemist And Druggist,3
Wagoner,3
Chandler,3
Millwright,3
Brushmaker,3
Omnibus Driver,3
Watchmaker And Jeweller,3
Victualler,3
Servant To Publican,3
Apprentice On Boat,3
Livery-Stable-Keeper,3
Chair-Maker,3
Lord Bishop Of London,3
Mason'S Labourer,3
Builder'S Labourer,3
Apprentice On Board Ship,3
Lodging-House Keeper,3
Pianoforte-Maker,3
Coach-Builder,3
Appraiser,3
Chimney Sweep,3
Corn-Dealer,3
Hosier And Glover,3
Keep A Shop,3
Innkeeper,3
Keep A Beer-Shop,3
Keep A Beer Shop,3
Wholesale Stationer,3
Keeps A Coffee Shop,3
Marquis Of Hertford,3
Watch And Clock Maker,3
Archbishop Of Canterbury,3
Prime Minister,3
Merchant'S Clerk,3
Law Stationer,3
Painter And Glazier,3
Engine-Driver,3
Boatswain,3
Principal Clerk And Cashier,3
Wine And Brandy Merchant,3
Railway Porter,3
Shirt Maker,3
Timber Merchant,3
Lady,3
Farm Worker,3
Rag Merchant,3
Silk Agent,3
Bank Manager,3
Coach Painter,3
Ship'S Cook,3
Paper-Hanger,3
Ship'S Mate,3
Prostitute,3
Cab Proprietor,3
Storekeeper,3
Mate On Ship,3
Bargeman,3
Zinc Worker,3
Reporter,3
Soldiers,3
Baron,3
Bookseller'S Assistant,3
Corn Merchant,3
Navvy,3
Assistant,3
Major,3
Lodging House Keeper,3
Tea Packer,3
Leather Dresser,3
Doctor'S Assistant,3
House Agent,3
Hammerman,3
Cleaner,3
Ice-Cream Vendor,3
Kitchenmaid,3
Gas Fitter,3
Cigarette Maker,3
Slater,3
Piano Maker,3
Jockey,3
Basketmaker,3
Printer'S Labourer,3
Motor Driver,3
Cabinetmaker,3
Fish Porter,3
Glass Beveller,3
Hatmaker,3
Wireworker,3
Provision Merchant,3
Post Office Sorter,3
Pugilist,3
Van Boy,3
Boot Repairer,3
Insurance Manager,3
Correspondent,3
Car-Man,3
Wood Chopper,3
Telegraphist,3
Dispenser,3
Motor Engineer,3
Motor-Driver,3
Boxmaker,3
Advertising Agent,3
Auxiliary Postman And Boot Repairer,3
Bath Attendant,3
Count,2
Hotelier,2
Clothes Shop Keeper,2
Boot And Shoe-Maker,2
Potter,2
Shopman For Clothes-Salesman,2
Shop-Foreman,2
Servant To Tailor,2
Servant Jewllery Setter,2
Tailor And Draper,2
Inn-Keeper,2
Poultere,2
Keeps Livery-Stables,2
Carver, Gilder,2
Seal Engraver,2
Keeps A Coffee-Shop,2
Gentleman'S Servant,2
Chemist, Druggist,2
Wholesale Grocer,2
Glazier,2
Journeyman Baker,2
Child'S Nurse,2
Toll-Collector,2
Lace-Man,2
Wine-Porter,2
Keeps The White Bear,2
Dock Worker,2
Hackney-Coachman,2
House-Maid,2
Journeyman Cooper,2
Hotel-Keeper,2
Laceman,2
Soap Manufacturer,2
Toy-Dealer,2
Sale-Shop Keeper,2
Under Butler,2
Journeyman Tailor,2
Stable-Man,2
Keeps A Public-House,2
Tin-Plate Worker,2
Laundry-Man,2
Haberdasher,2
Hosier, Glover,2
Master Shoemaker,2
Trunk-Maker,2
Keeps A Shoe Shop,2
Umbrella Manufacturer,2
Captain'S Cook,2
Nursery-Maid,2
Journeyman Shoemaker,2
Coal-Porter,2
Ships Cook,2
Pawnbroker And Jeweller,2
Labourer On The Railroad,2
Hosier, Glover And Out-Fitter,2
Livery-Stable Keeper,2
Egg Merchant,2
Carriage Washer,2
Keeps A China Shop,2
Waitor,2
Druggist,2
Keeps The George And Vulture,2
Colourman,2
Keeps The White Swan,2
Keeps A Tavern,2
Lets Lodgings,2
Keeps A Stationer'S Shop,2
Painter, Glazier,2
Colonel,2
Postmaster-General,2
Employed By Trimming Manufacturer,2
Shirtmaker,2
Greenwich Pensioner,2
Maid Of All Work,2
Under-Gardener,2
Brickmaker,2
Judge,2
Pianoforte Maker,2
House-Painter,2
Manufacturing Chemist,2
Millwright, Engineer,2
Marquis,2
Watch-Case Maker,2
Chimney-Sweeper,2
Keeps A Chandler'S Shop,2
Barrister-At-Law,2
Private,2
Keep A Public-House,2
Managing Clerk,2
Keep A Tobacconist'S Shop,2
Music-Seller,2
Keep A Coffee-Shop,2
Lascar,2
Clock-Maker,2
Keeps An Eating-House,2
Cork-Cutter,2
Soap-Manufacturer,2
Keep A Shoe-Shop,2
General Salesman,2
Landlady,2
Viscount Frankfort De Montmorency,2
Drapers,2
Leather-Seller,2
Pot-Man,2
Publishing Bookseller,2
Marble-Polisher,2
14,2
Sugar-Baker,2
Brass-Finisher,2
Dame,2
Custom-House Officer,2
Counting House Owner,2
Chimney-Sweep,2
Toll Collector,2
Drayman,2
Trimming Manufacturer,2
Sugar-Refiner,2
Kitchen-Maid,2
Cigar-Maker,2
Ship-Chandler,2
Sail-Maker,2
Cap-Maker,2
Silk-Mercer,2
Glass-Blower,2
Distiller,2
18,2
Cow-Boy,2
Iron-Founder,2
Vicar,2
Mate,2
Biscuit-Maker,2
Master Lighterman,2
Walking-Stick Manufacturer,2
Boatman,2
Mat-Maker,2
Bricklayer'S Labourer,2
Gold-Beater,2
Lieutenant In The Royal Artillery,2
Coffee-Stall Keeper,2
Collecting Clerk,2
Dining-Room Keeper,2
Artificial Flower Maker,2
Woollen Merchant,2
Hay And Straw Dealer,2
Notary Public,2
Post Ofice Worker,2
Shop Keeper,2
Letter-Carrier,2
Curate,2
Chocolate Business,2
Jeweller'S Assistant,2
Servant To Baker,2
Cigar Merchant,2
Journeyman Cabinet Maker,2
In Service To Butcher,2
Ordinary Seaman,2
Sculptor,2
Wholesale Coffee Dealer,2
Ribbon Manufacturer,2
Shipping Agent,2
Army Pensioner,2
Stableman,2
Beer-House Keeper,2
Employed By Railway Company,2
Shipowner,2
Private In Royal Marines,2
Cigar Maker,2
Royal Artillery Gunner,2
Carpenter And Joiner,2
Traveler,2
Potato Salesman,2
Minister,2
Night Porter,2
Military Servant,2
Spring Maker,2
Leather Merchant,2
Artillery,2
Commercial Agent,2
Pub Manager,2
Soap Maker,2
Gold Beater,2
Plumber And Glazier,2
Asylum Attendant,2
Second Mate,2
Shop Manager,2
Tin Plate Worker,2
Ironmonger'S Assistant,2
Watch And Clock Manufacturer,2
Metropolitan Police Constable,2
Coffee-Shop Keeper,2
Private Gentleman,2
Staff Sergeant Of Pensioners,2
Box Maker,2
Licensed Carman,2
Van Guard,2
Justice Of The Peace,2
Hosier'S Clerk And Collector,2
Mantle Maker,2
Glass Cutter,2
Workhouse Inmate,2
Out Of Business,2
Stone Mason,2
Packing-Case Maker,2
Lock-Keeper,2
Glass Warehouseman,2
Clerk And Servant,2
Night Watchman,2
Jeweller And Silversmith,2
Dustman,2
Confidential Clerk,2
Director,2
Driver,2
Prison Warder,2
Officer Of The Post Office,2
Director Of Company,2
Coffee House Keeper,2
Merchant Tailor,2
Keeps A Boot Shop,2
Wholesale Provision Merchant,2
Cloth Merchant,2
Commissioner For Oaths,2
Fireman On Ship,2
Secretary Of The Hearts Of Oak Society,2
Checker,2
Farm Labourer,2
Honourable,2
Public Service,2
Pawnbroker'S Assistant,2
Army Tutor,2
Tea Merchant,2
Architect And Surveyor,2
Teacher Of Music,2
Detective Sergeant And Police Constable,2
In The Employ Of The Post Office,2
Baker'S Packer,2
Employed In The Post Office.,2
Iron Worker,2
Bottler,2
Tram Driver,2
Building Society Clerk,2
Unemployed,2
Brewery Worker,2
Soldier In Royal Artillery,2
Hotel Manager,2
Butcher'S Carrier,2
Rag And Bone Merchant,2
Manservant,2
Wholesale Manufacturing Furrier,2
Employed Under Post Office,2
Bank,2
Rate Collector,2
Gas Stoker,2
Driller,2
Mail Van Driver,2
Athlete,2
Wire Worker,2
Diamond Setter,2
Diamond Dealer,2
Married,2
Factory Worker,2
Harness Maker,2
Commissionaire,2
Moneylender,2
Crane Driver,2
Public-House Manager,2
Boiler Maker,2
Costume Maker,2
Bus-Driver,2
Manufacturers' Agent,2
Wood Turner,2
Ice Cream Vendor,2
Bird Dealer,2
Platelayer,2
Boilermaker,2
Lady'S Maid,2
Timekeeper,2
Hat Maker,2
Brush Maker,2
Shunter,2
Metal Worker,2
Pianoforte Tuner,2
Portmanteau Maker,2
Umbrella Maker,2
Comedian,2
Boot Finisher,2
Window Dresser,2
Newspaper Cyclist,2
Signwriter,2
Asphalter,2
Picture-Frame Maker,2
Sugar Boiler,2
Window Cleaner,2
Bookmaker'S Clerk,2
Mosaic Worker,2
Overseer,2
Operator,2
Bookmaker'S Assistant,2
Electrical Engineer,2
Mining Engineer,2
Schoolboy,2
Hall Porter,2
Billiard-Marker,2
Sub-Postmaster,2
Gilder,2
News Vendor,2
Traveller'S Assistant,2
Bagmaker,2
Wireman,2
Bookfolder,2
Theatrical Manager,2
Assistant Head Postman,2
Music-Hall Artist,2
Gold Blocker,2
Stockbroker'S Clerk,2
Editor,2
Actress,2
Lift Attendant,2
Scaler,2
Marble Polisher,2
Taxi-Driver,2
Managing Director,2
Manchester Warehouseman,2
Motor Dealer,2
Acrobat,2
Stock Dealer,2
Insurance Superintendent,2
Financial Agent,2
Rubber Dealer,2
Aeronaut,2
Gold Refiner,2
Earl Of Stradbroke,1
Stone-Sawyer,1
Ladies Shoemaker,1
Hosier And Hatter,1
Army Agent,1
Silk Weaver,1
Market-Gardener And Farmer,1
Shoe Maker,1
Coach Master,1
Fixture Dealer,1
Bow-String-Maker,1
Woollen-Manufacturers,1
House-Keeper,1
Boot And Clothes Shop Keeper,1
Parliamentary Agents,1
Oilshop Keeper,1
Merchant And Manufacturer,1
Assistant Foreman In The East India Docks,1
Frock-Body Making,1
Weekly Servant,1
Foot-Boy,1
Servant To Jeweller,1
Horseman,1
Salt-Merchant And Corn-Dealer,1
Dealer In Clothers,1
Cheese-Monger,1
Lighter Man,1
Cabinet-Maker And Furniture-Broker,1
Porter In Newgate-Market,1
Messenger Of The Court Of Bankruptcy,1
Wholesale Jeweller,1
Whoelsale Jeweller,1
Bookseller And Publisher,1
Booksller,1
Master Tailor,1
Linen-Draper'S Shop,1
General Post Office,1
Refiner,1
Tailor'S Trimming-Seller,1
Truss-Maker,1
Soda-Water Manufacturer,1
Keeps A Coal-Shed,1
Rector Of Bishopsgate,1
Pawbroker,1
Keeps The Hope And Anchor Public-House,1
Secret Springer,1
Copper-Plate Printers,1
Conductor, To Kidd'S Brentford Omnibus,1
Keeps The Three Pigeons And Star,1
Silk Merchant,1
Jpurneyman Tailor,1
Sells Soda-Water,1
Cow=Keeper,1
Mathematical Instrument Maker,1
Keeps The Ball And Crown,1
Porter At A Shoe Warehouse,1
Rule-Maker,1
Broker, Carpenter,1
Furrier, Warehouseman,1
Keeps The Island Mills,1
Sells Poatoes In Covent Garden Market,1
Chinas And Glass Dealer,1
Keeps Potatoes,1
Master Builder,1
Has A Granary,1
Private Watchman,1
Barge Owner,1
Apprentice Carpenter,1
Rigger,1
Warehouse Boy,1
House-Servant,1
Char,1
Servant Out Of A Situation,1
Stock Exchange,1
Cutler'S Shop Keeper,1
Silk Trimming Manufacturer,1
Haberdasher'S Shop Keeper,1
Journeyman Cabinet-Maker,1
Straw-Hat Manufacturer,1
Union-Street, Tower,1
Clock-Case Maker,1
Dealer In Straw-Plait,1
Waistcoat-Maker,1
Gunsmith,1
Feather-Bed-Manufacturer,1
Dealer In Wood,1
Twopenny Post-Boy,1
Nursery-Man,1
Management Of A Barge,1
Lapidary,1
Ship'S First Officer,1
Laundry-Keeper,1
Milliner And Dress-Maker,1
Lodge-Keeper,1
Lineen-Draper,1
Employed In The Surgery At King'S College,1
Assistant-Surgeon, Rouyal Military Hospital,1
Iveroy Merchant,1
Servant-Boy,1
Keeps A Ladies' Boarding-School,1
Keeps A Sale-Shop,1
Keep The Three Compasses,1
Dealer In Dublin Stout,1
Watchmaker Ans Jeweller,1
In The Lace Business,1
Contractor For The Dust And Rubbish And Filth Of The Parish Of St. James, Westminster,1
Potato-Salesman,1
Hay Carter,1
Keeps An Oli-Shop,1
Keeps The Red Lion,1
Servant To A Baker,1
Toy-Maker,1
Linen-Draper, Silk-Mercer,1
Gunner In The Artillery,1
Day Labourer,1
Seller Of Fruit And Vegetables,1
17,1
Silk Works Labourer,1
Occasional Servant,1
Carman To Farmer,1
Apprentice Printer,1
Printer'S Warehouseman,1
Servant On Ship,1
Apprentice Shoe-Maker,1
Wine And Spirit-Merchant,1
Pig-Dealer,1
Cattle-Dealer,1
Pencil-Maker,1
Stage Coachman,1
Licensed-Victualler,1
Portmanteau-Maker,1
Employed By The Mendicity Society,1
Stable-Keeper And Farmer,1
Chandler'S Shop Keeper,1
Toolmaker,1
Butcher'S Shop,1
Servant To Druggist,1
John Thomas Willey,1
Surveyor Of Roads,1
Beershop-Keeper,1
Writer To Architect,1
Foley-Place, Portland Chapel,1
Knight, Director General Of The Ordnance Medical Department At Woolwich,1
Pensioner Of The Royal Artillery,1
Belong To The Water-Works,1
Retail Beer Seller,1
Wholesale Umbrella-Manufacturer,1
24,1
King Of Poland,1
Collectin Clerk,1
Distributor Of Newspapers,1
Landsman,1
Newsvender,1
Blacking Maker,1
Keeps The Pontifex Castle,1
Keeps A Green-Grocer'S Shop,1
Ham Dealer,1
Sadler And Harness Maker,1
Keeps The Horns, Public-House,1
Keeps A General Sale-Shop,1
Print-Seller, Bookbinder,1
Keepa A Shoe-Shop,1
Hosier, Linen-Draper,1
Slop=Seller,1
Keeps The Golden Fleece,1
Builder, Carpenter,1
Master Of A Collier,1
Jouneyman,1
Baker'S Journeyman,1
Bone-Merchant,1
Wholesale Tea Merchant,1
Assists In Counting House,1
Braid And Fringe Manufacturer,1
Artist'S Colourman,1
Colour Merchant,1
Watch-Maker, Jeweller,1
Carpet-Maunfacturer,1
Assistant To Surgeon,1
Locksmith,1
Keeps The Flora Tea-Gardens,1
Fireman On The Railway,1
Undertaker,1
Coach Proprietors, Farmers,1
Keep The Fox Public-House,1
Dealer In Miscellaneous Property And Spevtacles,1
Harp-Maker,1
Currier, Leather Cutter,1
Wholesale Warehouseman,1
Keeps A Shoemaker'S Shop,1
Keep The Rainbow Public-House,1
Milliner, Dressmaker,1
Corporal In The 1St Royal Artillery,1
Cigar-Merchant'S Town-Traveller,1
Former Apprentice Shoemaker,1
Coppersmiths Labourer,1
Clerk And Warehouseman,1
Porter And Salesman,1
Servant To Dentist,1
Apprentice Linen-Draper,1
Printer'S Pressman,1
Carman To Grocer,1
Butchers Shopman,1
Dealer In Waste Paper, And Cooper,1
Pattern-Block Maker,1
Cloth-Cap Worker,1
Night-House Keeper,1
Flock-Maker,1
Harp Manufacturer,1
Foundry-Owner,1
Boot-Closer And Chandler,1
Clerk To An Attorney,1
Cow-Man,1
General Shop-Keeper,1
Unfortunate Girl,1
Master Printer,1
Poulterer And Cheesemonger,1
Secretary To The British And Foreign Seaman'S Society,1
Wholesale Cheese-Monger,1
Customs Waterman,1
Hosiers And Glovers,1
Not In Any Business,1
Commoner Of Magdalen Hall, Cambridge,1
Mathematical Instrument-Maker,1
Magistrate,1
Carpenter And Cheesemonger,1
Composition Chimney-Pots Manufacturer,1
Butcher And Farmer,1
Master Of The Infant Poor Establishment At Norwood,1
Apprentice Basket-Maker And Turner,1
Employed By Boot And Shoe Maker,1
Journeyman Watchmaker,1
Employed By Baker,1
Stable-Helper,1
Jobber,1
Apprentice Carver And Gilder,1
Employed By Dressmaker,1
Servant To Farmer,1
Apprentice At Hospital,1
Meat-Salesman,1
Silversmith And Pawnbroker,1
Seller Of Naptha And Spirit Lamps,1
Clothes Salesman And General Outfitter,1
Hosier And Outfitter,1
Basket-Maker And Turner,1
Berwick-Street, Soho,1
Public House,1
Steward On Boat,1
Tavern-Kepper,1
Boot And Shoe-Maker'S Shop-Keeper,1
Goldsmith And Silversmith,1
Linendraper And Mercer,1
Employed By Stable Keeper,1
Private In The Coldstream Guards,1
Box Book-Keeper At The Queen'S Theatre,1
Work On The Railroad,1
Dress-Maker,1
Milk-Seller,1
Tap-House Keeper,1
Shoe-Seller,1
Commission Traveller To Oilman,1
Wheat-Thresher,1
Labourer In The Docks,1
Gingerbread Baker, Confectioner,1
Hay Salesman,1
Keeps The Horns Public-House,1
Keeps A Snuff Shop,1
Farmer Of Parish Poor,1
Keeps The Lord High Admiral Public-House,1
Keeps An Outfittingshop,1
Keeps A Shoemakers Shop,1
Works At The Gas Factory,1
Keeps The Rose Inn,1
Omnibus Proprietor,1
Mason, Builder,1
Keeps A Bookseller'S Shop,1
Lets Trucks,1
Dealer In Jewellery,1
Works In Hungerford Market,1
French-Polisher,1
Attands A Gentleman,1
Silk And Worsted Dyer,1
Cook On A Ship,1
Gentleman Farmer,1
Engineeer,1
Army-Clothier,1
Glazier, Plummer,1
Sells Clothes,1
Keeps The Rose And Crown,1
Keeps The Box And Cock Public-House,1
Keeps A Baker'S Shop,1
Keeps The Albermarle Head,1
Tortoisehell-Comb Manufacturer,1
Keeps The Bolt In Tun,1
Collector To The Regent'S Canal Company,1
Keeps A Toy Warehouse,1
Keeps The Coach And Horses Public House,1
Cotton Manufacturer,1
Public Appointment In The Ordnance,1
Keeps The Boar And Castle,1
Keeps The Hole In The Wall,1
Keeps The Red Cross,1
Coal And Corn Merchant,1
Keeps The John Bull,1
Keeps A Silversmith'S Shop,1
Sells Packing Cases,1
Umbrella-Maker,1
Deals In Ladies Wardrobes,1
Tailor And Breeches-Maker,1
Ballast-Heaver,1
Ship=Broker,1
Publican, Farmer,1
Carpenter, Keeps A Beer Shop,1
Keeps The Chequers Tap,1
Countess Waldegrave,1
Earl Of Charlemont,1
Chairman Of The Union Society For Affecting Insurance From Fire,1
Secretary Of The Union Society For Affecting Insurance From Fire,1
Employed By Cheesemonger,1
Employed By Copper-Smith,1
Delivery-Clerk,1
Servant To House-Agent,1
Employed By Road-Contractor,1
Porter And Under-Barman,1
Employed By Silversmith,1
Builder'S Carter,1
Interpreter And Secretary,1
Stoker In Brewery,1
Cabinet Work,1
On Liking To Cabinet-Maker,1
Service,1
Clerk And Town Traveller,1
Clothier'S Servant,1
Employed By Carriage-Manufacturer,1
Wharfinger'S Extra Man,1
Carman In Ironworks,1
Ironworks Labourer,1
Malt Factor,1
Copper-Smiths,1
Iron-Monger,1
Attorney-At-Law,1
House-Agent And Appraiser,1
Road Contractor,1
Mealman,1
Shoemakers-Shop Keeper,1
Worker In Oil And Colour-Shop,1
Pensioner From The Grenadier Guards,1
Tobacco And Snuff Manufacturer,1
School-Master,1
Smith And Carrier,1
Trimming-Manufacturer,1
Carpet Seller,1
Army Officer,1
Army Band,1
Stationer And Rag-Merchant,1
Paper-Hanging Manufacturer,1
Bulider,1
Glove Shop Keeper,1
Comb-Hawker,1
Master Of The Launceston Work-House, Cornwall,1
Clothes-Seller,1
Book-Seller,1
General-Sale-Shop Keeper,1
Lucifer Match-Maker,1
Law Student,1
Royal Artillery,1
Stone-Mason,1
Servant, Private In Royal Artillery,1
Upholsterer'S Porter,1
Floor-Cloth And Carpet-Manufacturer,1
Boot And Shoe Warehouse Owner,1
Glass-Dealer,1
Army Bugleman,1
Steam-Boat Engineer,1
Carriage-Manufacturer,1
Ironworks Owner,1
Brassfounder,1
Night Nurse,1
Gunner, Driver In The Royal Artillery,1
Tinman, Brazier,1
Matron,1
Calico Printer,1
Hardwareman,1
Varnish-Maker,1
Hackey-Coach Proprietor,1
Coach-Wheelwright,1
Sells China And Glass,1
Woollen Draper,1
Keeps The Marquis Of Granby,1
Farmer'S Man,1
Keeps A Confecioner'S Shop,1
Navigator,1
Painter. Glazier,1
Pawnbroker, Silversmith,1
Proprietor Of The Theatre,1
Stone-Merchant,1
Keeps A Hotel,1
Keeps An Upholsterer'S Shop,1
Keeps A Coffe-Shop,1
Coach-Painter,1
Keeps The Haberdashers' Arms Public-House,1
Pensioner Of The Bombay Artillery,1
Proprietor Of The National Baths,1
Deals In Watches,1
Coch-Maker,1
Sergeant-Major In The Royal Artillery,1
Keeps The Plough,1
Copper-Plate Printer,1
Marine-Dtore Dealer,1
Coach-Proprietor,1
Proprietor Of Griffin'S Wharf,1
Owns An Iron-Yard,1
Hoop-Merchant,1
Sells Fruit In The Street,1
Lady'S-Maid,1
Postmaster General,1
Chief Mate On Ship,1
Beer Shop Owner,1
Journeyman Brass-Finisher,1
Chemist, Surgeon,1
Porter And Carman,1
Keeps The King And Queen,1
Clerk In The Custom-House,1
Silk And Trimming Manufacturer,1
Keeps A Bottle-Warehouse,1
Uilder,1
Lace Warehouseman,1
Silk-Stockmaker,1
Slop-Seller,1
Draper And Laceman,1
Publican, Deler In Jewellery,1
Maunfacturer Of Matches,1
Clerk To A Solicitor,1
Miller And Flour-Factor,1
Officer Of The Sheriff Of Middlesex,1
Salesman In Covent-Garden Market,1
Matron Of Hans Town School,1
Marble-Mason,1
